date,equity,cash,regime,n_positions,drawdown,qqq_close,long_exposure,short_exposure,gross_exposure,net_exposure
2022-02-17T00:00:00Z,100282.45140729562,115346.46520058469,RISK_OFF,2,0.005512203059987656,336.05596923828125,8954.741624415587,24018.755417704662,32973.497042120245,-15064.013793289076
2022-02-18T00:00:00Z,100550.4090459092,115346.46520058469,RISK_OFF,2,0.0028549026254803818,332.2230529785156,8948.751210898075,23744.807365573568,32693.558576471645,-14796.056154675493
2022-02-22T00:00:00Z,100596.80392599017,115346.46520058469,RISK_OFF,2,0.002394810740673633,328.88629150390625,8756.659454578808,23506.320729173323,32262.98018375213,-14749.661274594515
2022-02-23T00:00:00Z,100940.09006639145,115346.46520058469,RISK_OFF,2,0.0,320.4618225097656,8497.827856220847,22904.20299041408,31402.030846634927,-14406.375134193233
2022-02-24T00:00:00Z,99961.20271539956,115346.46520058469,RISK_OFF,2,0.009697706335986498,331.2307434082031,8288.622048926742,23673.884534111872,31962.506583038616,-15385.26248518513
2022-02-25T00:00:00Z,99858.90964005547,115346.46520058469,RISK_OFF,2,0.010711110180552194,336.3671875,8553.443399900458,24040.99896042967,32594.44236033013,-15487.555560529214
2022-02-28T00:00:00Z,99623.8660720834,115346.46520058469,RISK_OFF,2,0.013039655437619759,337.36920166015625,8390.01627454781,24112.615403049098,32502.63167759691,-15722.599128501288
2022-03-01T00:00:00Z,99639.68416881611,115346.46520058469,RISK_OFF,2,0.012882947664501048,332.2035827636719,8036.6347491552015,23743.41578092378,31780.05053007898,-15706.78103176858
2022-03-02T00:00:00Z,99427.50205036947,116511.80395660366,RISK_OFF,3,0.014985007592395705,337.77777099609375,8224.020224069109,25308.322130303302,33532.34235437241,-17084.301906234192
2022-03-03T00:00:00Z,99490.40901343196,116511.80395660366,RISK_OFF,3,0.014361796705412037,332.9526672363281,7925.401679090711,24946.7966222624,32872.19830135311,-17021.39494317169
2022-03-04T00:00:00Z,99466.04384640337,116511.80395660366,RISK_OFF,3,0.01460317916319036,328.12750244140625,7539.506430903813,24585.266541104116,32124.77297200793,-17045.760110200303
2022-03-07T00:00:00Z,99550.50227075728,116511.80395660366,RISK_OFF,3,0.013766460825626336,316.0257873535156,6717.232292986713,23678.533978833082,30395.766271819797,-16961.301685846367
2022-03-08T00:00:00Z,100031.91000075534,116511.80395660366,RISK_OFF,3,0.008997218697137849,314.556884765625,7088.581093521316,23568.475049369656,30657.05614289097,-16479.89395584834
2022-03-09T00:00:00Z,99568.10398265357,116511.80395660366,RISK_OFF,3,0.01359208301513781,325.88031005859375,7473.1935313995755,24416.89350534967,31890.087036749246,-16943.699973950097
2022-03-10T00:00:00Z,100020.21517852892,116511.80395660366,RISK_OFF,3,0.00911307774004861,322.2615051269531,7654.1623111632725,24145.751089238012,31799.913400401285,-16491.58877807474
2022-03-11T00:00:00Z,100538.0689159725,116511.80395660366,RISK_OFF,3,0.003982769880178711,315.578369140625,7671.275701236354,23645.01074186752,31316.286443103876,-15973.735040631167
2022-03-14T00:00:00Z,100983.60839667142,116511.80395660366,RISK_OFF,3,0.0,309.51776123046875,7662.718345298056,23190.9139052303,30853.632250528357,-15528.195559932243
2022-03-15T00:00:00Z,100657.90673520681,116511.80395660366,RISK_OFF,3,0.003225292368096329,319.22637939453125,8064.444173249398,23918.34139464626,31982.78556789566,-15853.897221396863
2022-03-16T00:00:00Z,99957.42838632436,117756.69311046995,RISK_OFF,4,0.010161847319974398,331.0653381347656,8252.257251599518,26051.5219757451,34303.77922734462,-17799.264724145585
2022-03-17T00:00:00Z,99603.96345494965,117756.69311046995,RISK_OFF,4,0.013662068167562545,335.0733337402344,8214.181379625687,26366.911035145982,34581.09241477167,-18152.729655520296
2022-03-18T00:00:00Z,99114.76340092943,117756.69311046995,RISK_OFF,4,0.01850641926361976,341.9316711425781,8264.663699365481,26906.593408906003,35171.257108271486,-18641.92970954052
